category,count
[呼吸],66198
[惊讶],31761
[笑声],29191
[叹气],15899
[咳嗽],15212
[确认],11882
[疑问],10617
[迟疑],9897
[吸鼻],7420
[哭声],5595
[清嗓],4993
[不满],4744
[倒吸气],4142
[哈欠],3997
[嘘声],3811
[呻吟],3577
[吹口哨],3381
[打喷嚏],3270
[咂嘴],3269
[嘶声],3148
[哼唱],2570
[打鼾],2464
[呼吸],[笑声],825
[呼吸],[惊讶],817
[惊讶],[笑声],778
[惊讶],[疑问],749
[惊讶],[呼吸],739
[呼吸],[确认],716
[迟疑],[惊讶],594
[迟疑],[笑声],560
[呼吸],[疑问],463
[迟疑],[呼吸],457
[惊讶],[迟疑],442
[叹气],[呼吸],430
[迟疑],[确认],401
[呼吸],[迟疑],376
[惊讶],[确认],360
[迟疑],[疑问],312
[笑声],[确认],310
[呼吸],[不满],301
[笑声],[疑问],283
[笑声],[惊讶],275
[哈欠],[倒吸气],265
[哼唱],[倒吸气],243
[疑问],[惊讶],225
[呻吟],[咂嘴],199
[叹气],[迟疑],193
[叹气],[惊讶],187
[哼唱],[打喷嚏],184
[鼓掌],180
[哼唱],[吹口哨],175
[打鼾],[倒吸气],167
[哈欠],[咂嘴],166
[呻吟],[倒吸气],164
[倒吸气],[呻吟],164
[呻吟],[嘘声],161
[吹口哨],[打喷嚏],158
[确认],[惊讶],156
[打鼾],[吹口哨],156
[哈欠],[吹口哨],155
[倒吸气],[咂嘴],153
[倒吸气],[嘘声],153
[哈欠],[打喷嚏],152
[呻吟],[嘶声],149
[吹口哨],[咂嘴],149
[叹气],[笑声],145
[吹口哨],[嘶声],144
[呻吟],[吹口哨],142
[哼唱],[嘶声],138
[哈欠],[嘶声],138
[嘘声],[倒吸气],137
[打鼾],[咂嘴],136
[打鼾],[哈欠],135
[嘶声],[咂嘴],134
[笑声],[不满],132
[嘘声],[咂嘴],132
[倒吸气],[吹口哨],132
[哈欠],[呻吟],130
[嘘声],[打喷嚏],125
[打鼾],[嘶声],124
[呻吟],[打喷嚏],121
[确认],[疑问],120
[倒吸气],[嘶声],119
[嘘声],[呻吟],119
[叹气],[疑问],118
[打喷嚏],[倒吸气],118
[惊讶],[不满],115
[吹口哨],[倒吸气],115
[嘘声],[吹口哨],114
[嘘声],[打鼾],113
[哼唱],[咂嘴],112
[打鼾],[打喷嚏],111
[咳嗽],[迟疑],110
[嘶声],[倒吸气],109
[嘘声],[哈欠],109
[打鼾],[呻吟],109
[哈欠],[嘘声],107
[嘘声],[哼唱],107
[迟疑],[不满],106
[哼唱],[打鼾],106
[哼唱],[呻吟],104
[打鼾],[哼唱],103
[哼唱],[嘘声],101
[呻吟],[哈欠],99
[嘘声],[嘶声],99
[吹口哨],[嘘声],96
[咳嗽],[惊讶],95
