================================================================================
VoxCPM 非语言声音类别完整列表
================================================================================

总数据量: 273,424 条
类别总数: 1,344 个

--------------------------------------------------------------------------------
一、单独类别 (23 个)
--------------------------------------------------------------------------------
序号     类别                     数据量         占比
---------------------------------------------
1      [呼吸]                66,198      26.8%
2      [惊讶]                31,761      12.8%
3      [笑声]                29,191      11.8%
4      [叹气]                15,899       6.4%
5      [咳嗽]                15,212       6.2%
6      [确认]                11,882       4.8%
7      [疑问]                10,617       4.3%
8      [迟疑]                 9,897       4.0%
9      [吸鼻]                 7,420       3.0%
10     [哭声]                 5,595       2.3%
11     [清嗓]                 4,993       2.0%
12     [不满]                 4,744       1.9%
13     [倒吸气]                4,142       1.7%
14     [哈欠]                 3,997       1.6%
15     [嘘声]                 3,811       1.5%
16     [呻吟]                 3,577       1.4%
17     [吹口哨]                3,381       1.4%
18     [打喷嚏]                3,270       1.3%
19     [咂嘴]                 3,269       1.3%
20     [嘶声]                 3,148       1.3%
21     [哼唱]                 2,570       1.0%
22     [打鼾]                 2,464       1.0%
23     [鼓掌]                   180       0.1%
---------------------------------------------
合计                        247,218

--------------------------------------------------------------------------------
二、组合类别 (1,321 个)
--------------------------------------------------------------------------------
序号       类别                                         数据量
----------------------------------------------------------
1        [呼吸],[笑声]                                  825
2        [呼吸],[惊讶]                                  817
3        [惊讶],[笑声]                                  778
4        [惊讶],[疑问]                                  749
5        [惊讶],[呼吸]                                  739
6        [呼吸],[确认]                                  716
7        [迟疑],[惊讶]                                  594
8        [迟疑],[笑声]                                  560
9        [呼吸],[疑问]                                  463
10       [迟疑],[呼吸]                                  457
11       [惊讶],[迟疑]                                  442
12       [叹气],[呼吸]                                  430
13       [迟疑],[确认]                                  401
14       [呼吸],[迟疑]                                  376
15       [惊讶],[确认]                                  360
16       [迟疑],[疑问]                                  312
17       [笑声],[确认]                                  310
18       [呼吸],[不满]                                  301
19       [笑声],[疑问]                                  283
20       [笑声],[惊讶]                                  275
21       [哈欠],[倒吸气]                                 265
22       [哼唱],[倒吸气]                                 243
23       [疑问],[惊讶]                                  225
24       [呻吟],[咂嘴]                                  199
25       [叹气],[迟疑]                                  193
26       [叹气],[惊讶]                                  187
27       [哼唱],[打喷嚏]                                 184
28       [哼唱],[吹口哨]                                 175
29       [打鼾],[倒吸气]                                 167
30       [哈欠],[咂嘴]                                  166
31       [呻吟],[倒吸气]                                 164
32       [倒吸气],[呻吟]                                 164
33       [呻吟],[嘘声]                                  161
34       [吹口哨],[打喷嚏]                                158
35       [确认],[惊讶]                                  156
36       [打鼾],[吹口哨]                                 156
37       [哈欠],[吹口哨]                                 155
38       [倒吸气],[咂嘴]                                 153
39       [倒吸气],[嘘声]                                 153
40       [哈欠],[打喷嚏]                                 152
41       [呻吟],[嘶声]                                  149
42       [吹口哨],[咂嘴]                                 149
43       [叹气],[笑声]                                  145
44       [吹口哨],[嘶声]                                 144
45       [呻吟],[吹口哨]                                 142
46       [哼唱],[嘶声]                                  138
47       [哈欠],[嘶声]                                  138
48       [嘘声],[倒吸气]                                 137
49       [打鼾],[咂嘴]                                  136
50       [打鼾],[哈欠]                                  135
51       [嘶声],[咂嘴]                                  134
52       [笑声],[不满]                                  132
53       [嘘声],[咂嘴]                                  132
54       [倒吸气],[吹口哨]                                132
55       [哈欠],[呻吟]                                  130
56       [嘘声],[打喷嚏]                                 125
57       [打鼾],[嘶声]                                  124
58       [呻吟],[打喷嚏]                                 121
59       [确认],[疑问]                                  120
60       [倒吸气],[嘶声]                                 119
61       [嘘声],[呻吟]                                  119
62       [叹气],[疑问]                                  118
63       [打喷嚏],[倒吸气]                                118
64       [惊讶],[不满]                                  115
65       [吹口哨],[倒吸气]                                115
66       [嘘声],[吹口哨]                                 114
67       [嘘声],[打鼾]                                  113
68       [哼唱],[咂嘴]                                  112
69       [打鼾],[打喷嚏]                                 111
70       [咳嗽],[迟疑]                                  110
71       [嘶声],[倒吸气]                                 109
72       [嘘声],[哈欠]                                  109
73       [打鼾],[呻吟]                                  109
74       [哈欠],[嘘声]                                  107
75       [嘘声],[哼唱]                                  107
76       [迟疑],[不满]                                  106
77       [哼唱],[打鼾]                                  106
78       [哼唱],[呻吟]                                  104
79       [打鼾],[哼唱]                                  103
80       [哼唱],[嘘声]                                  101
81       [呻吟],[哈欠]                                   99
82       [嘘声],[嘶声]                                   99
83       [吹口哨],[嘘声]                                  96
84       [咳嗽],[惊讶]                                   95
85       [打喷嚏],[嘶声]                                  94
86       [呻吟],[哼唱]                                   93
