# VoxCPM 非语言声音类别完整列表

总数据量: 273,424 条
类别总数: 1,344 个

## 所有类别（按数据量排序）

序号     类别                                         数据量
-------------------------------------------------------
1      [呼吸]                                    66,198
2      [惊讶]                                    31,761
3      [笑声]                                    29,191
4      [叹气]                                    15,899
5      [咳嗽]                                    15,212
6      [确认]                                    11,882
7      [疑问]                                    10,617
8      [迟疑]                                     9,897
9      [吸鼻]                                     7,420
10     [哭声]                                     5,595
11     [清嗓]                                     4,993
12     [不满]                                     4,744
13     [倒吸气]                                    4,142
14     [哈欠]                                     3,997
15     [嘘声]                                     3,811
16     [呻吟]                                     3,577
17     [吹口哨]                                    3,381
18     [打喷嚏]                                    3,270
19     [咂嘴]                                     3,269
20     [嘶声]                                     3,148
21     [哼唱]                                     2,570
22     [打鼾]                                     2,464
23     [呼吸],[笑声]                                  825
24     [呼吸],[惊讶]                                  817
25     [惊讶],[笑声]                                  778
26     [惊讶],[疑问]                                  749
27     [惊讶],[呼吸]                                  739
28     [呼吸],[确认]                                  716
29     [迟疑],[惊讶]                                  594
30     [迟疑],[笑声]                                  560
31     [呼吸],[疑问]                                  463
32     [迟疑],[呼吸]                                  457
33     [惊讶],[迟疑]                                  442
34     [叹气],[呼吸]                                  430
35     [迟疑],[确认]                                  401
36     [呼吸],[迟疑]                                  376
37     [惊讶],[确认]                                  360
38     [迟疑],[疑问]                                  312
39     [笑声],[确认]                                  310
40     [呼吸],[不满]                                  301
41     [笑声],[疑问]                                  283
42     [笑声],[惊讶]                                  275
43     [哈欠],[倒吸气]                                 265
44     [哼唱],[倒吸气]                                 243
45     [疑问],[惊讶]                                  225
46     [呻吟],[咂嘴]                                  199
47     [叹气],[迟疑]                                  193
48     [叹气],[惊讶]                                  187
49     [哼唱],[打喷嚏]                                 184
50     [鼓掌]                                       180
51     [哼唱],[吹口哨]                                 175
52     [打鼾],[倒吸气]                                 167
53     [哈欠],[咂嘴]                                  166
54     [呻吟],[倒吸气]                                 164
55     [倒吸气],[呻吟]                                 164
56     [呻吟],[嘘声]                                  161
57     [吹口哨],[打喷嚏]                                158
58     [确认],[惊讶]                                  156
59     [打鼾],[吹口哨]                                 156
60     [哈欠],[吹口哨]                                 155
61     [倒吸气],[咂嘴]                                 153
62     [倒吸气],[嘘声]                                 153
63     [哈欠],[打喷嚏]                                 152
64     [呻吟],[嘶声]                                  149
65     [吹口哨],[咂嘴]                                 149
66     [叹气],[笑声]                                  145
67     [吹口哨],[嘶声]                                 144
68     [呻吟],[吹口哨]                                 142
69     [哼唱],[嘶声]                                  138
70     [哈欠],[嘶声]                                  138
71     [嘘声],[倒吸气]                                 137
72     [打鼾],[咂嘴]                                  136
73     [打鼾],[哈欠]                                  135
74     [嘶声],[咂嘴]                                  134
75     [笑声],[不满]                                  132
76     [嘘声],[咂嘴]                                  132
77     [倒吸气],[吹口哨]                                132
78     [哈欠],[呻吟]                                  130
79     [嘘声],[打喷嚏]                                 125
80     [打鼾],[嘶声]                                  124
81     [呻吟],[打喷嚏]                                 121
82     [确认],[疑问]                                  120
83     [倒吸气],[嘶声]                                 119
84     [嘘声],[呻吟]                                  119
85     [叹气],[疑问]                                  118
86     [打喷嚏],[倒吸气]                                118
87     [惊讶],[不满]                                  115
88     [吹口哨],[倒吸气]                                115
89     [嘘声],[吹口哨]                                 114
90     [嘘声],[打鼾]                                  113
91     [哼唱],[咂嘴]                                  112
92     [打鼾],[打喷嚏]                                 111
93     [咳嗽],[迟疑]                                  110
94     [嘶声],[倒吸气]                                 109
95     [嘘声],[哈欠]                                  109
96     [打鼾],[呻吟]                                  109
97     [哈欠],[嘘声]                                  107
98     [嘘声],[哼唱]                                  107
99     [迟疑],[不满]                                  106
100    [哼唱],[打鼾]                                  106
101    [哼唱],[呻吟]                                  104
102    [打鼾],[哼唱]                                  103
103    [哼唱],[嘘声]                                  101
104    [呻吟],[哈欠]                                   99
105    [嘘声],[嘶声]                                   99
106    [吹口哨],[嘘声]                                  96
107    [咳嗽],[惊讶]                                   95
108    [打喷嚏],[嘶声]                                  94
109    [呻吟],[哼唱]                                   93
110    [嘶声],[嘘声]                                   92
111    [嘶声],[呻吟]                                   91
112    [打喷嚏],[呻吟]                                  85
113    [咳嗽],[笑声]                                   84
114    [打喷嚏],[嘘声]                                  84
115    [倒吸气],[打喷嚏]                                 83
116    [打鼾],[嘘声]                                   83
117    [嘶声],[吹口哨]                                  82
118    [吹口哨],[呻吟]                                  81
119    [打喷嚏],[咂嘴]                                  80
